1044
0	0 0
2431	1 9	0,6 1,6 2,5 2,6 3,4 3,6 4,5 4,6 5,6
2510	0 7	2,5 2,6 3,4 3,5 3,6 4,5 4,6
2511	0 8	2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
2518	0 7	1,6 2,5 3,4 3,5 3,6 4,5 4,6
2519	0 8	1,6 2,5 3,4 3,5 3,6 4,5 4,6 5,6
2520	0 6	1,6 2,5 2,6 3,4 3,5 4,5
2521	0 7	1,6 2,5 2,6 3,4 3,5 4,5 5,6
2522	0 7	1,6 2,5 2,6 3,4 3,5 4,5 4,6
2523	0 8	1,6 2,5 2,6 3,4 3,5 4,5 4,6 5,6
2526	0 8	1,6 2,5 2,6 3,4 3,5 3,6 4,5 4,6
2527	0 9	1,6 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
2544	0 6	0,6 1,6 2,5 3,4 3,5 4,5
2545	1 7	0,6 1,6 2,5 3,4 3,5 4,5 5,6
2546	1 7	0,6 1,6 2,5 3,4 3,5 4,5 4,6
2547	1 8	0,6 1,6 2,5 3,4 3,5 4,5 4,6 5,6
2550	1 8	0,6 1,6 2,5 3,4 3,5 3,6 4,5 4,6
2551	1 9	0,6 1,6 2,5 3,4 3,5 3,6 4,5 4,6 5,6
2552	1 7	0,6 1,6 2,5 2,6 3,4 3,5 4,5
2553	1 8	0,6 1,6 2,5 2,6 3,4 3,5 4,5 5,6
2554	1 8	0,6 1,6 2,5 2,6 3,4 3,5 4,5 4,6
2555	1 9	0,6 1,6 2,5 2,6 3,4 3,5 4,5 4,6 5,6
2558	1 9	0,6 1,6 2,5 2,6 3,4 3,5 3,6 4,5 4,6
2559	1 10	0,6 1,6 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
2840	0 5	1,5 1,6 2,5 2,6 3,4
2841	0 6	1,5 1,6 2,5 2,6 3,4 5,6
2842	0 6	1,5 1,6 2,5 2,6 3,4 4,6
2843	0 7	1,5 1,6 2,5 2,6 3,4 4,6 5,6
2846	0 7	1,5 1,6 2,5 2,6 3,4 3,6 4,6
2847	0 8	1,5 1,6 2,5 2,6 3,4 3,6 4,6 5,6
2856	0 5	0,6 1,5 2,5 2,6 3,4
2857	0 6	0,6 1,5 2,5 2,6 3,4 5,6
2858	1 6	0,6 1,5 2,5 2,6 3,4 4,6
2859	1 7	0,6 1,5 2,5 2,6 3,4 4,6 5,6
2862	1 7	0,6 1,5 2,5 2,6 3,4 3,6 4,6
2863	1 8	0,6 1,5 2,5 2,6 3,4 3,6 4,6 5,6
2872	0 6	0,6 1,5 1,6 2,5 2,6 3,4
2873	0 7	0,6 1,5 1,6 2,5 2,6 3,4 5,6
2874	1 7	0,6 1,5 1,6 2,5 2,6 3,4 4,6
2875	1 8	0,6 1,5 1,6 2,5 2,6 3,4 4,6 5,6
2878	1 8	0,6 1,5 1,6 2,5 2,6 3,4 3,6 4,6
2879	1 9	0,6 1,5 1,6 2,5 2,6 3,4 3,6 4,6 5,6
2906	0 7	1,5 1,6 2,5 2,6 3,4 4,5 4,6
2907	0 8	1,5 1,6 2,5 2,6 3,4 4,5 4,6 5,6
2908	0 7	1,5 1,6 2,5 2,6 3,4 3,6 4,5
2909	0 8	1,5 1,6 2,5 2,6 3,4 3,6 4,5 5,6
2910	0 8	1,5 1,6 2,5 2,6 3,4 3,6 4,5 4,6
2911	0 9	1,5 1,6 2,5 2,6 3,4 3,6 4,5 4,6 5,6
2922	1 7	0,6 1,5 2,5 2,6 3,4 4,5 4,6
2923	1 8	0,6 1,5 2,5 2,6 3,4 4,5 4,6 5,6
2924	1 7	0,6 1,5 2,5 2,6 3,4 3,6 4,5
2925	1 8	0,6 1,5 2,5 2,6 3,4 3,6 4,5 5,6
2926	1 8	0,6 1,5 2,5 2,6 3,4 3,6 4,5 4,6
2927	1 9	0,6 1,5 2,5 2,6 3,4 3,6 4,5 4,6 5,6
2936	1 7	0,6 1,5 1,6 2,5 2,6 3,4 4,5
2937	1 8	0,6 1,5 1,6 2,5 2,6 3,4 4,5 5,6
2938	1 8	0,6 1,5 1,6 2,5 2,6 3,4 4,5 4,6
2939	1 9	0,6 1,5 1,6 2,5 2,6 3,4 4,5 4,6 5,6
2940	1 8	0,6 1,5 1,6 2,5 2,6 3,4 3,6 4,5
2941	1 9	0,6 1,5 1,6 2,5 2,6 3,4 3,6 4,5 5,6
2942	1 9	0,6 1,5 1,6 2,5 2,6 3,4 3,6 4,5 4,6
2943	1 10	0,6 1,5 1,6 2,5 2,6 3,4 3,6 4,5 4,6 5,6
3038	0 9	1,5 1,6 2,5 2,6 3,4 3,5 3,6 4,5 4,6
3039	0 10	1,5 1,6 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
3054	1 9	0,6 1,5 2,5 2,6 3,4 3,5 3,6 4,5 4,6
3055	1 10	0,6 1,5 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
3064	1 8	0,6 1,5 1,6 2,5 2,6 3,4 3,5 4,5
3065	1 9	0,6 1,5 1,6 2,5 2,6 3,4 3,5 4,5 5,6
3066	1 9	0,6 1,5 1,6 2,5 2,6 3,4 3,5 4,5 4,6
3067	1 10	0,6 1,5 1,6 2,5 2,6 3,4 3,5 4,5 4,6 5,6
3070	1 10	0,6 1,5 1,6 2,5 2,6 3,4 3,5 3,6 4,5 4,6
3071	1 11	0,6 1,5 1,6 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
3896	0 7	0,5 0,6 1,5 1,6 2,5 2,6 3,4
3897	0 8	0,5 0,6 1,5 1,6 2,5 2,6 3,4 5,6
3898	1 8	0,5 0,6 1,5 1,6 2,5 2,6 3,4 4,6
3899	1 9	0,5 0,6 1,5 1,6 2,5 2,6 3,4 4,6 5,6
3902	1 9	0,5 0,6 1,5 1,6 2,5 2,6 3,4 3,6 4,6
3903	1 10	0,5 0,6 1,5 1,6 2,5 2,6 3,4 3,6 4,6 5,6
3962	1 9	0,5 0,6 1,5 1,6 2,5 2,6 3,4 4,5 4,6
3963	1 10	0,5 0,6 1,5 1,6 2,5 2,6 3,4 4,5 4,6 5,6
3964	1 9	0,5 0,6 1,5 1,6 2,5 2,6 3,4 3,6 4,5
3965	1 10	0,5 0,6 1,5 1,6 2,5 2,6 3,4 3,6 4,5 5,6
3966	1 10	0,5 0,6 1,5 1,6 2,5 2,6 3,4 3,6 4,5 4,6
3967	1 11	0,5 0,6 1,5 1,6 2,5 2,6 3,4 3,6 4,5 4,6 5,6
4094	1 11	0,5 0,6 1,5 1,6 2,5 2,6 3,4 3,5 3,6 4,5 4,6
